GEOID,population
13285,72844
13287,8983
13289,7597
13291,27859
13293,28500
13295,70250
13297,112696
13299,36906
13301,5269
13303,19453
13305,32481
13307,2369
13309,7570
13311,29802
13313,106212
13315,8797
13317,9540
13319,8650
13321,20059
15001,210043
15003,988703
15005,82
15007,73400
15009,160592
16001,546141
16003,5013
16005,91591
16007,6727
16009,10508
16011,51153
16013,25517
16015,8545
16017,54420
16019,135771
16021,13997
16023,2783
16025,1316
16027,275123
16029,7252
16031,26397
16033,783
16035,9118
16037,4636
16039,29465
16041,15889
16043,14208
16045,21773
16047,16446
16049,17874
16051,35297
16053,26362
16055,191864
16057,41842
16059,8474
16061,3704
16063,5603
16065,55172
16067,22911
16069,42905
16071,5085
16073,12661
16075,27824
16077,8246
16079,14130
16081,13254
16083,97539
16085,12831
16087,11583
17001,64267
17003,4570
17005,16959
17007,53568
17009,6401
17011,32510
17013,4300
17015,15419
17017,12463
17019,209972
17021,33443
17023,15114
17025,12793
17027,37128
17029,46607
17031,5194625
17033,18648
17035,10208
17037,101835
17039,15118
17041,19880
17043,934298
17045,16323
17047,5898
17049,34519
17051,20790
17053,13216
17055,36916
17057,32901
17059,4616
17061,11313
17063,54052
17065,7859
17067,16803
17069,3588
17071,5984
17073,48095
17075,26150
17077,52501
17079,9032
17081,36147
17083,21160
17085,21594
17087,13363
17089,525757
17091,105525
17093,145470
17095,47767
17097,719339
17099,107773
17101,13790
17103,32914
17105,35057
17107,27182
17109,25916
17111,317751
17113,171419
17115,99300
17117,43748
17119,263110
17121,36382
17123,11473
17125,12411
17127,13502
17129,11863
17131,15229
17133,34840
17135,28076
17137,32515
17139,14371
17141,51399
17143,178553
17145,20160
17147,16791
17149,14231
17151,3672
17153,4820
17155,5619
17157,29921
17159,15219
17161,141869
17163,250708
17165,22772
17167,194170
17169,6657
17171,4866
17173,20576
17175,5319
17177,43220
17179,130049
17181,16656
17183,71259
17185,10907
17187,16222
17189,13564
17191,15882
17193,13250
17195,54121
17197,712253
17199,67225
17201,283674
17203,38111
18001,36650
18003,402329
18005,85729
18007,8883
18009,11730
18011,80689
18013,15777
18015,20655
18017,37836
18019,130451
18021,26410
18023,33322
18025,10509
18027,34209
18029,51609
18031,26576
18033,44535
18035,113106
18037,44016
18039,208774
18041,23533
18043,82153
18045,17013
18047,23286
18049,20091
18051,33091
18053,66524
18055,31165
18057,387036
18059,90969
18061,40437
18063,193510
18065,49137
18067,83904
18069,37224
18071,47370
18073,33894
18075,20118
18077,33279
18079,27622
18081,174262
18083,35652
18085,80892
18087,41305
18089,504612
18091,111294
18093,45568
18095,135088
18097,992196
18099,46599
18101,9856
18103,34487
18105,143345
18107,38954
18109,74967
18111,14188
18113,47937
18115,5994
18117,19834
18119,21886
18121,16642
18123,19389
18125,12003
18127,176049
18129,24988
18131,12463
18133,37876
18135,24438
18137,29434
18139,16767
18141,272861
18143,25053
18145,45882
18147,20061
18149,23425
18151,34799
18153,20831
18155,10037
18157,190456
18159,15319
18161,6863
18163,181995
18165,15488
18167,106512
18169,30713
18171,8474
18173,66803
18175,28383
18177,66169
18179,28883
18181,25164
18183,35046
19001,7403
19003,3617
19005,14238
19007,12077
19009,5509
19011,26004
19013,131532
19015,26799
19017,25296
19019,20883
19021,20449
19023,14049
19025,9562
19027,20303
19029,12960
19031,18359
19033,42372
19035,11369
19037,11663
19039,9574
19041,16202
19043,16845
19045,46002
19047,16237
19049,118457
19051,9230
19053,7655
19055,17674
19057,38077
19059,18077
19061,99381
19063,9107
19065,19047
19067,14901
19069,9868
19071,6522
19073,8658
19075,12361
19077,10782
19079,14944
19081,10528
19083,16455
19085,14623
19087,19349
19089,9415
19091,9409
19093,6777
19095,16504
19097,19288
19099,38153
19101,15291
19103,160044
19105,21253
19107,9797
19109,14322
19111,32306
19113,232028
19115,10416
19117,8847
19119,12354
19121,17270
19123,21880
19125,34192
19127,39890
19129,14793
19131,10650
19133,8539
19135,7406
19137,10002
19139,41853
19141,14220
19143,5980
19145,14856
19147,8899
19149,25697
19151,6819
19153,516546
19155,92996
19157,18368
19159,4642
19161,9525
19163,175259
19165,11689
19167,36774
19169,101291
19171,16796
19173,5835
19175,11829
19177,7131
19179,35210
19181,57331
19183,22667
19185,6738
19187,36838
19189,10251
19191,19733
19193,106649
19195,7338
19197,12801
20001,12302
20003,8018
20005,16172
20007,4083
20009,24790
20011,14319
20013,9104
20015,69484
20017,2572
20019,3321
20021,19105
20023,2604
20025,1900
20027,7990
20029,8833
20031,8467
20033,1673
20035,34382
20037,39008
20039,2716
20041,18637
20043,7594
20045,120920
20047,2640
20049,2458
20051,29075
20053,6257
20055,37505
20057,33993
20059,26299
20061,36338
20063,2631
20065,2371
20067,7028
20069,5652
20071,1182
20073,5826
20075,2500
20077,5370
20079,33580
20081,3599
20083,1619
20085,13438
20087,18296
20089,2830
20091,636906
20093,3888
20095,7029
20097,2432
20099,19685
20101,1508
20103,84590
20105,2861
20107,9950
20109,2661
20111,32266
20113,30064
20115,11634
20117,9852
20119,3852
20121,36240
20123,5590
20125,30177
20127,5348
20129,2470
20131,10054
20133,15637
20135,2617
20137,5288
20139,15693
20141,3285
20143,5744
20145,5991
20147,4728
20149,27186
20151,9117
20153,2431
20155,61539
20157,4640
20159,9266
20161,72598
20163,4646
20165,2845
20167,6581
20169,53377
20171,4815
20173,538433
20175,21073
20177,178607
20179,2427
20181,5763
20183,3566
20185,4005
20187,1986
20189,4984
20191,22312
20193,7725
20195,2740
20197,7018
20199,1441
20201,5533
20203,2031
20205,8299
20207,3118
20209,170597
21001,19423
21003,22536
21005,25225
21007,7594
21009,45641
21011,13176
21013,22829
21015,145316
21017,20243
21019,47751
21021,31632
21023,8511
21025,12558
21027,21503
21029,86454
21031,12520
21033,12609
21035,39421
21037,95441
21039,4747
21041,11141
21043,26149
21045,16205
21047,70115
21049,37888
21051,19465
21053,9139
21055,8807
21057,5992
21059,104898
21061,12749
21063,7265
21065,13962
21067,329751
21069,15787
21071,34401
21073,52649
21075,6218
21077,8840
21079,18207
21081,26181
21083,37050
21085,27406
21087,11644
21089,35213
21091,9050
21093,113482
21095,24725
21097,19627
21099,20117
21101,44255
21103,16447
21105,4372
21107,45127
21109,13325
21111,795222
21113,57147
21115,22051
21117,175779
21119,13321
21121,29532
21123,15184
21125,63746
21127,15765
21129,7297
21131,9627
21133,19952
21135,12901
21137,25353
21139,8863
21141,28669
21143,9123
21145,67553
21147,17124
21149,9064
21151,101696
21153,11110
21155,20115
21157,31659
21159,10697
21161,16936
21163,30699
21165,6430
21167,23733
21169,10583
21171,11191
21173,28822
21175,14415
21177,30634
21179,49036
21181,7949
21183,23934
21185,70986
21187,11601
21189,3932
21191,14800
21193,26555
21195,54721
21197,12812
21199,67384
21201,2325
21203,16148
21205,24476
21207,18608
21209,62262
21211,51243
21213,20788
21215,20998
21217,26763
21219,12972
21221,14512
21223,8701
21225,12839
21227,149375
21229,12368
21231,19597
21233,12929
21235,37297
21237,6298
21239,27883
22001,57032
22003,22672
22005,135105
22007,19720
22009,37941
22011,36673
22013,12269
22015,131867
22017,224226
22019,208466
22021,9344
22023,4718
22025,8223
22027,13354
22029,17836
22031,27381
22033,456180
22035,6760
22037,18911
22039,31980
22041,19002
22043,22075
22045,66846
22047,29579
22049,15834
22051,431398
22053,31471
22055,257949
22057,95505
22059,15154
22061,48360
22063,155036
22065,8844
22067,23705
22069,36089
22071,362154
22073,158542
22075,22256
22077,19520
22079,125877
22081,7165
22083,19582
22085,21834
22087,45642
22089,50586
22091,10758
22093,18938
22095,39875
22097,80765
22099,51106
22101,46552
22103,279108
22105,141346
22107,3700
22109,104163
22111,20561
22113,57671
22115,45091
22117,44937
22119,34948
22121,28756
22123,9156
22125,15134
22127,14961
23001,116487
23003,66609
23005,317222
23007,30824
23009,57171
23011,129067
23013,41117
23015,36595
23017,60346
23019,157967
23021,17409
23023,37979
23025,51620
23027,40693
23029,31334
23031,222434
24001,66848
24003,603380
24005,847650
24009,94484
24011,34116
24013,176677
24015,107131
24017,176593
24019,33628
24021,302883
24023,28370
24025,266446
24027,339183
24029,19565
24031,1074582
24033,970374
24035,54448
24037,116692
24039,24973
24041,38238
24043,157731
24045,106899
24047,54459
24510,569997
25001,233539
25003,128224
25005,593640
25007,21219
25009,826653
25011,70698
25013,464338
25015,164065
25017,1669979
25019,14758
25021,739749
25023,546829
25025,791891
25027,888502
26001,10556
26003,8641
26005,123188
26007,28853
26009,24698
26011,15068
26013,8169
26015,63991
26017,102123
26019,18568
26021,152444
26023,45993
26025,133408
26027,51677
26029,26036
26031,25793
26033,36081
26035,31543
26037,80432
26039,13722
26041,36582
26043,25827
26045,109581
26047,33775
26049,401093
26051,26077
26053,14285
26055,96729
26057,41190
26059,45738
26061,37842
26063,30530
26065,289709
26067,66557
26069,25266
26071,11757
26073,64691
26075,159552
26077,263795
26079,18693
26081,675232
26083,2186
26085,13182
26087,89516
26089,22982
26091,97779
26093,197315
26095,6339
26097,11236
26099,886221
26101,25656
26103,68064
26105,29040
26107,42320
26109,22941
26111,83754
26113,15274
26115,156004
26117,69406
26119,9842
26121,177901
26123,51622
26125,1288337
26127,27177
26129,21121
26131,5823
26133,23516
26135,8723
26137,26080
26139,308459
26141,13128
26143,23914
26145,187688
26147,160486
26149,60968
26151,40083
26153,8187
26155,67681
26157,52680
26159,76071
26161,370214
26163,1769038
26165,34445
27001,16252
27003,381605
27005,35497
27007,47055
27009,41744
27011,5054
27013,70634
27015,25517
27017,36711
27019,114379
27021,31430
27023,12406
27025,59142
27027,67734
27029,8647
27031,5522
27033,11405
27035,69132
27037,457710
27039,21376
27041,40120
27043,13888
27045,21540
27047,30440
27049,48195
27051,6085
27053,1284784
27055,18400
27057,22369
27059,44386
27061,45404
27063,9857
27065,16628
27067,44720
27069,4031
27071,11587
27073,6704
27075,10746
27077,3770
27079,29453
27081,5583
27083,25684
27085,36631
27087,5153
27089,8798
27091,19440
27093,23603
27095,27753
27097,34620
27099,40971
27101,7942
27103,34273
27105,22338
27107,6336
27109,166731
27111,61041
27113,13686
27115,30472
27117,9260
27119,30545
27121,11420
27123,541623
27125,3940
27127,15265
27129,14356
27131,69939
27133,9524
27135,15246
27137,200518
27139,159017
27141,104194
27143,15356
27145,164110
27147,37464
27149,9747
27151,9763
27153,26060
27155,3130
27157,21537
27159,14388
27161,18688
27163,286895
27165,11459
27167,6288
27169,50523
27171,157559
27173,9477
28001,30061
28003,34569
28005,12487
28007,17100
28009,7502
28011,28262
28013,12643
28015,9226
28017,16730
28019,8048
28021,8058
28023,15102
28025,18238
28027,19849
28029,27497
28031,17898
28033,197918
28035,79034
28037,7491
28039,26331
28041,13707
28043,20868
28045,46873
28047,217136
28049,211888
28051,15465
28053,7001
