GEOID,population
45017,14188
45019,436200
45021,58275
45023,33001
45025,44740
45027,31043
45029,39382
45031,62888
45033,27458
45035,178397
45037,29808
45039,20340
45041,138504
45043,65912
45045,583125
45047,70379
45049,18174
45051,427551
45053,38533
45055,73166
45057,114296
45059,71848
45061,15730
45063,317588
45065,10215
45067,28242
45069,25488
45071,39561
45073,83775
45075,83177
45077,139198
45079,434956
45081,19680
45083,380857
45085,105067
45087,26799
45089,29662
45091,306887
46003,2801
46005,19624
46007,3307
46009,7244
46011,37635
46013,37561
46015,5278
46017,1802
46019,10856
46021,1377
46023,9303
46025,4031
46027,15031
46029,29562
46031,3781
46033,9431
46035,20069
46037,5484
46039,4408
46041,5419
46043,2888
46045,4022
46047,7467
46049,2178
46051,7534
46053,4037
46055,1802
46057,6900
46059,3121
46061,3456
46063,1331
46065,17570
46067,7413
46069,1191
46071,2666
46073,1654
46075,913
46077,5284
46079,10993
46081,29459
46083,77145
46085,3694
46087,5964
46089,2347
46091,4426
46093,30711
46095,2137
46097,2281
46099,212691
46101,6632
46102,13338
46103,116792
46105,2853
46107,2377
46109,10255
46111,2388
46115,6155
46117,3018
46119,1479
46121,8863
46123,5708
46125,9314
46127,17402
46129,5217
46135,23635
46137,2389
47001,82066
47003,55273
47005,16183
47007,15920
47009,143820
47011,115465
47013,40290
47015,15296
47017,29200
47019,57361
47021,42778
47023,17994
47025,33229
47027,7821
47029,37889
47031,62419
47033,14006
47035,66300
47037,745904
47039,11820
47041,21873
47043,58662
47045,36320
47047,45071
47049,20322
47051,45579
47053,51779
47055,31433
47057,25739
47059,73831
47061,14116
47063,68843
47065,390833
47067,7075
47069,25274
47071,27983
47073,59559
47075,17042
47077,28518
47079,32896
47081,26219
47083,8479
47085,19646
47087,12466
47089,60024
47091,18718
47093,511453
47095,6249
47097,24617
47099,46914
47101,13487
47103,36853
47105,63764
47107,57404
47109,26236
47111,27663
47113,100790
47115,29804
47117,38071
47119,118131
47121,14186
47123,49730
47125,249935
47127,6920
47129,22160
47131,30067
47133,23787
47135,9126
47137,5219
47139,18592
47141,86612
47143,34844
47145,57395
47147,80175
47149,386352
47151,22671
47153,17861
47155,101342
47157,910226
47159,20981
47161,14439
47163,163759
47165,215538
47167,62287
47169,12623
47171,17856
47173,21450
47175,6874
47177,43717
47179,141199
47181,16416
47183,33261
47185,29612
47187,272061
47189,175033
48001,59805
48003,18914
48005,88154
48007,26146
48009,9129
48011,1843
48013,53590
48015,33625
48017,6963
48019,22876
48021,118908
48023,3472
48025,32515
48027,402248
48029,2160088
48031,13581
48033,567
48035,18918
48037,92696
48039,419080
48041,249088
48043,9458
48045,1474
48047,6579
48049,38711
48051,20549
48053,57015
48055,55150
48057,19599
48059,14491
48061,433946
48063,13380
48065,5805
48067,28651
48069,7295
48071,57594
48073,53337
48075,6643
48077,10764
48079,2546
48081,3412
48083,7915
48085,1297179
48087,2487
48089,21439
48091,209166
48093,14432
48095,3607
48097,44461
48099,85592
48101,1224
48103,4554
48105,2769
48107,4852
48109,2267
48111,7508
48113,2661397
48115,11776
48117,18626
48119,5549
48121,1069346
48123,20309
48125,1692
48127,8024
48129,3213
48131,9402
48133,18143
48135,173801
48137,1370
48139,240867
48141,877858
48143,43911
48145,17869
48147,39265
48149,25459
48151,3692
48153,4881
48155,1044
48157,975191
48159,10994
48161,20811
48163,18823
48165,23956
48167,372207
48169,4510
48171,28527
48173,1128
48175,7208
48177,20159
48179,20919
48181,153613
48183,126095
48185,34252
48187,201111
48189,31819
48191,2737
48193,8680
48195,4944
48197,3292
48199,58723
48201,5045026
48203,71956
48205,4904
48207,5499
48209,304390
48211,3083
48213,88595
48215,921549
48217,39503
48219,21600
48221,70501
48223,39063
48225,22316
48227,30504
48229,3433
48231,123336
48233,19633
48235,1463
48237,9563
48239,15393
48241,33075
48243,1711
48245,254321
48247,4555
48249,38804
48251,218048
48253,20861
48255,15018
48257,209235
48259,53289
48261,319
48263,674
48265,54037
48267,4438
48269,192
48271,3128
48273,30315
48275,3192
48277,51503
48279,12579
48281,23657
48283,6517
48285,20651
48287,18729
48289,16894
48291,121364
48293,22849
48295,2955
48297,11929
48299,23353
48301,52
48303,328906
48305,6017
48307,7472
48309,272020
48311,544
48313,14226
48315,9896
48317,5284
48319,3990
48321,36463
48323,58823
48325,56881
48327,1956
48329,187855
48331,26258
48333,4580
48335,8947
48337,21966
48339,781194
48341,21891
48343,12133
48345,1043
48347,66035
48349,57181
48351,11954
48353,14117
48355,352992
48357,9284
48359,1783
48361,86266
48363,30791
48365,23018
48367,184767
48369,9678
48371,14560
48373,53434
48375,114453
48377,5433
48379,13542
48381,152351
48383,3166
48385,2745
48387,11816
48389,12138
48391,6657
48393,867
48395,17839
48397,140738
48399,9693
48401,54854
48403,10012
48405,7722
48407,29488
48409,72053
48411,5787
48413,2245
48415,16162
48417,3197
48419,24286
48421,2781
48423,252549
48425,10261
48427,66319
48429,9380
48431,1349
48433,1186
48435,3203
48437,6703
48439,2248466
48441,150077
48443,702
48445,11720
48447,1554
48449,31563
48451,120602
48453,1389670
48455,14384
48457,20443
48459,44410
48461,3131
48463,24963
48465,47835
48467,66130
48469,92656
48471,83842
48473,69858
48475,11125
48477,38288
48479,281224
48481,42060
48483,4773
48485,129555
48487,12481
48489,19971
48491,752827
48493,56139
48495,7540
48497,83778
48499,49688
48501,7438
48503,18154
48505,13753
48507,9037
49001,7301
49003,65320
49005,145000
49007,20680
49009,934
49011,381227
49013,20856
49015,10177
49017,5256
49019,9790
49021,67141
49023,13567
49025,8597
49027,14057
49029,13383
49031,1509
49033,2687
49035,1220916
49037,14542
49039,31453
49041,22827
49043,43141
49045,87461
49047,38278
49049,759859
49051,38514
49053,213670
49055,2587
49057,278174
50001,38048
50003,36630
50005,30414
50007,169115
50009,6051
50011,51177
50013,7511
50015,26294
50017,30002
50019,27600
50021,59653
50023,59652
50025,45204
50027,57312
51001,33859
51003,118356
51005,14546
51007,13632
51009,31962
51011,17172
51013,243931
51015,78940
51017,4076
51019,83059
51021,6151
51023,34144
51025,15727
51027,18492
51029,17137
51031,55629
51033,34413
51035,29299
51036,6623
51037,11401
51041,397148
51043,15609
51045,4800
51047,57666
51049,10352
51051,13236
51053,28896
51057,10654
51059,1167873
51061,76503
51063,15789
51065,28975
51067,55526
51069,99955
51071,16564
51073,40097
51075,29187
51077,15230
51079,21958
51081,11181
51083,33447
51085,116423
51087,342775
51089,49242
51091,2318
51093,41321
51095,83326
51097,6743
51099,29646
51101,19617
51103,10995
51105,21642
51107,449749
51109,42924
51111,12058
51113,14237
51115,8529
51117,30747
51119,10841
51121,98434
51125,14920
51127,28022
51131,11879
51133,12557
51135,15796
51137,40083
51139,23762
51141,17424
51143,59490
51145,32591
51147,22391
51149,43936
51153,502966
51155,33586
51157,7439
51159,9294
51161,97150
51163,22663
51165,89316
51167,25332
51169,21200
51171,45839
51173,28882
51175,18110
51177,155388
51179,170803
51181,6603
51183,10755
51185,38635
51187,42740
51191,53898
51193,19715
51195,34824
51197,27983
51199,71374
51510,160662
51520,16418
51530,6672
51540,44388
51550,255332
51570,18738
51580,5680
51590,41647
51595,5447
51600,26772
51610,15159
51620,8478
51630,30393
51640,6670
51650,137315
51660,50839
51670,23261
51678,7769
51680,81347
51683,44332
51685,16560
51690,13849
51700,183230
51710,231013
51720,3477
51730,33734
51735,13292
51740,96777
51750,17243
51760,237257
51770,99111
51775,25816
51790,26801
51800,104699
51810,453737
51820,23951
51830,15861
51840,28272
53001,21488
53003,22545
53005,221722
53007,81941
53009,78202
53011,532119
53013,4141
53015,114885
53017,46473
53019,7517
53021,102612
53023,2416
53025,105727
53027,78144
53029,85657
53031,33970
53033,2344939
53035,283374
53037,48803
53039,24331
53041,88062
53043,11982
53045,71165
53047,45230
53049,24357
53051,14457
53053,946288
53055,18577
53057,132975
53059,12669
53061,870656
53063,558344
53065,49668
53067,304261
53069,4873
53071,62361
53073,236392
53075,48512
53077,259185
54001,15414
54003,139522
54005,20251
54007,11885
54009,21142
54011,91183
54013,5978
54015,7538
54017,7634
54019,38165
54021,7085
54023,11041
54025,31578
54027,24105
54029,27729
54031,14337
54033,64221
54035,27450
54037,63102
54039,172381
54041,16394
54043,19177
54045,30375
54047,16878
54049,55584
54051,29159
54053,24707
54055,57503
54057,26792
54059,21455
54061,107991
54063,12491
54065,18027
54067,23848
54069,40496
54071,5826
54073,7338
54075,7602
54077,34004
54079,56885
54081,71775
54083,26882
54085,8034
54087,13317
54089,11532
54091,16287
54093,6540
54095,7881
54097,23758
54099,37309
54101,7760
54103,13734
54105,4879
54107,82385
54109,19801
55001,21752
55003,16203
55005,46484
55007,16787
55009,275803
55011,13318
55013,17223
55015,53982
55017,67614
55019,35052
55021,58132
55023,15910
55025,590375
55027,89097
55029,30616
55031,43990
55033,46223
55035,109033
55037,4748
55039,104669
55041,9574
55043,52446
55045,37227
55047,19305
55049,23951
55051,6127
55053,20999
55055,86505
55057,26649
55059,168448
55061,20758
55063,121339
55065,17478
55067,19534
55069,28403
55071,81710
55073,139432
55075,42574
55077,15927
55078,4199
55079,924216
55081,46572
55083,40195
55085,38131
55087,195894
55089,94346
55091,7513
55093,43519
55095,45803
55097,71943
55099,13988
55101,198919
55103,17036
55105,166472
55107,14146
55109,98276
55111,66652
55113,18846
55115,41560
55117,118047
55119,20118
55121,31171
55123,31443
55125,23761
55127,106127
55129,17087
55131,139238
55133,417210
55135,51461
55137,25223
55139,174218
55141,74060
56001,38558
56003,12024
56005,48145
56007,14013
56009,13824
56011,7852
56013,39464
56015,12640
56017,4600
56019,8908
56021,102938
56023,21180
56025,80526
56027,2341
56029,31171
56031,8634
56033,33241
56035,8929
56037,41267
56039,23333
56041,20728
56043,7597
56045,6840
